,Equipment,Sub equipment (if applicable),Down time issue,Machine/ process stop time,Machine/ process start time,Time taken (Duration),"Type (B/D, PM, SC, Process)",Attended by - department,Attended by - senior PM/ PC/ other,Issue,Temporary action taken
203,Trough ,Trough ,B side trough tilting prob ,3:42,5:46,2.07,B/D,Mechanical,Alekha,b side trough tilting got jam,metal cleaned and trough tilting speed increased 
204,Trough ,Trough ,pipe below A trough tilting cylinder oil leakage ,9:53,9:58,0.08,B/D,Mechanical,,oil leakage from trough tilting two hose connecting o ring,o ring changed
205,Mould,Mould,O ring changed by special team (Water Jacket),6:15,6:35,0.33,B/D,Mechanical,,no record,
206,Core loader,Core loader,Core loader housing change,9:40,9:54,0.23,B/D,Mechanical,,,
207,extractor,extractor,extractor centering out ,9:15,9:40,0.42,B/D,Mechanical,,,
208,Trough ,Trough ,A side trough supporting roller change ,7:03,7:52,0.82,B/D,Mechanical,,,
209,Trough ,Trough ,A side trough tilting cylinder change ,14:00,17:00,3,B/D,Mechanical,,,
210,Core loader,Core loader,Core loader centering done ,3:04,3:18,0.23,B/D,Mechanical,,,
211,Mould,Mould,roller change ,12:15,12:32,0.28,B/D,Mechanical,,,
212,Mould,Mould,spt side water leakage ,4:00,4:07,0.12,B/D,Mechanical,,,
213,seal ,seal ,spt seal change,21:20,22:00,0.67,B/D,Mechanical,,,
214,Mould,Mould,water leakage from skt side ,4:48,5:00,0.2,B/D,Mechanical,,,
215,Mould,Mould,water leakage from skt side ,5:00,5:10,0.17,B/D,Mechanical,,,
216,flag gate,flag gate,spt side flag gate prob,15:57,16:16,0.32,B/D,Mechanical,,,
217,PTT,PTT,PTT trolley rope prob ,23:10,0:28,1.3,B/D,Mechanical,,,
218,CCM,CCM,m/c under mechanical,13:00,13:38,0.63,B/D,Mechanical,,,
219,Mould,Mould,water leakage from skt side ,19:50,20:10,0.33,B/D,Mechanical,,,
220,MTC,MTC,MTC change ,0:20,0:30,0.17,B/D,Mechanical,,,
221,Trough ,Trough ,A side trough pressing roller change ,5:15,5:41,0.43,B/D,Mechanical,,,
222,bogie ,bogie ,bogie wheel change ,12:45,16:04,3.32,B/D,Mechanical,,,
223,CCM,CCM,"m/c auto conditon down ,b side trough metal stich ",19:36,22:35,2.98,B/D,Mechanical,,,
224,roller ,roller ,b side roller change ,0:45,1:15,0.5,B/D,Mechanical,,,
225,Core loader,Core loader,Core loader centering done ,22:50,23:17,0.45,B/D,Mechanical,,,
226,Trough ,Trough ,b side trough rotation prob ,22:26,22:39,0.22,B/D,Mechanical,,,
227,Core loader,Core loader,Core loader centering done ,11:04,11:10,0.1,B/D,Mechanical,,,
228,Core loader,Core loader,Core loader wheel change,21:05,21:15,0.17,B/D,Mechanical,,,
229,Uli Tube ,Uli Tube ,Dry uli dropping prob ,7:10,7:35,0.42,B/D,Mechanical,,,
230,Mould,Mould,mould vibration ,4:10,5:25,1.25,B/D,Mechanical,,,
231,Scrap trolley ,Scrap trolley ,Scrap trolley  prob ,11:35,12:20,0.75,B/D,Mechanical,,,
232,Mould,Mould,mould sleeve change ,0:44,2:00,1.27,B/D,Mechanical,,,
233,flaggate,flaggate,flaggate hydrulic oil leakage ,17:16,17:25,0.15,B/D,Mechanical,,,
234,Trough ,Trough ,B side trough centering ,13:00,13:35,0.58,B/D,Mechanical,,,
235,Core loader,Core loader,Core loader change ,17:07,17:15,0.13,B/D,Mechanical,,,
236,flag gate,flag gate,flag gate prob,10:40,10:50,0.17,B/D,Mechanical,,,
237,diabola,diabola,diabola cylinder open out ,22:50,2:35,3.75,B/D,Mechanical,,,
238,MTC ,MTC ,MTC  change ,10:10,20:10,10,B/D,Mechanical,,,
239,extractor ,extractor ,extractor alignment ,3:17,5:10,1.88,B/D,Mechanical,,,
240,PTT,PTT,PTT prob,0:50,1:19,0.48,B/D,Mechanical,,,
241,PTT,PTT,PTT prob,20:05,20:18,0.22,B/D,Mechanical,,,
242,Core loader/extractor,Core loader/extractor,Core loader/extractor centering check,21:50,22:20,0.5,B/D,Mechanical,,,
243,Core loader/extractor,Core loader/extractor,Core loader/extractor centering ,18:40,19:00,0.33,B/D,Mechanical,,,
244,Mould,Mould,water leakage from skt side ,15:27,15:51,0.4,B/D,Mechanical,,,
245,CCM,CCM,m/c under mechanical,11:36,5:06,17.5,B/D,Mechanical,,,
246,Trough ,Trough ,Trough shifting prob ,6:00,6:05,0.08,B/D,Mechanical,,,
247,Trough ,Trough ,Trough shifting prob ,6:14,7:30,1.27,B/D,Mechanical,,,
248,CCM,CCM,pipe lifting arm limit prob ,10:50,11:30,0.67,B/D,Mechanical,,,
249,Trough ,Trough ,B side trough supporting roller change ,13:40,15:14,1.57,B/D,Mechanical,,,
250,Core Ring ,Core Ring ,Core Ring centering check,0:30,0:54,0.4,B/D,Mechanical,,,
251,MTC,MTC,MTC pin open out ,7:26,8:45,1.32,B/D,Mechanical,,,
252,Mould,Mould,spt side water leakage ,9:20,9:41,0.35,B/D,Mechanical,,,
253,seal ,seal ,LT seal change ,10:55,11:20,0.42,B/D,Mechanical,,,
254,flag gate,flag gate,skt side flag gate hose pipe hydrulic oil leakage ,19:15,19:22,0.12,B/D,Mechanical,,,
255,Trough ,Trough ,A side trough shifting hose leakage ,2:45,4:22,1.62,B/D,Mechanical,,,
256,Mould,Mould,spt side water leakage ,5:45,6:00,0.25,B/D,Mechanical,,,
257,CCM,CCM,m/c stop due to core brust prob ,19:42,19:52,0.17,B/D,Mechanical,,,
258,Mould,Mould,spt side water leakage ,6:00,6:20,0.33,B/D,Mechanical,,,
259,Trough ,Trough ,B side trough tilting prob,11:20,13:30,2.17,B/D,Mechanical,,,
260,PTT,PTT,PTT movement prob ,11:25,12:30,1.08,B/D,Mechanical,,,
261,Uli Tube ,Uli Tube ,Dry uli dropping prob ,18:23,18:35,0.2,B/D,Mechanical,,,
262,flag gate,flag gate,flag gate hose change ,7:08,7:20,0.2,B/D,Mechanical,,,
263,Core loader,Core loader,Core loader centering done ,14:15,14:25,0.17,B/D,Mechanical,,,
264,CCM,CCM,c/b prob,15:10,15:42,0.53,B/D,Mechanical,,,
265,Trough ,Trough ,B side trough uli tube change ,16:41,17:13,0.53,B/D,Mechanical,,,
266,Trough ,Trough ,B side trough bogie cylinder hose pipe change,18:00,18:22,0.37,B/D,Mechanical,,,
267,Mould,Mould,skt side water leakage ,6:00,6:40,0.67,B/D,Mechanical,,,
268,PTT,PTT,PTT B/D,7:05,7:19,0.23,B/D,Mechanical,,,
269,PTT,PTT,PTT B/D,21:34,21:44,0.17,B/D,Mechanical,,,
270,PTT,PTT,PTT rope loose ,7:50,8:08,0.3,B/D,Mechanical,,,
271,Mould,Mould,Mould rotation stop during casting time ,14:45,15:05,0.33,B/D,Mechanical,,,
272,Mould,Mould,spt side water leakage ,2:57,3:14,0.28,B/D,Mechanical,,,
273,Mould,Mould,Mould change due to skt side water leakage,15:27,17:00,1.55,B/D,Mechanical,,,
274,extractor ,extractor ,extractor jaw hydrulic cylinder oil leakage ,17:30,19:10,1.67,B/D,Mechanical,,,
275,Core loader/extractor,Core loader/extractor,Core loader/extractor centering done,16:10,17:15,1.08,B/D,Mechanical,,,
276,Mould,Mould,water leakage from skt side ,1:15,2:10,0.92,B/D,Mechanical,,,
277,Core loader,Core loader,Core loader centering done ,21:45,22:19,0.57,B/D,Mechanical,,,
278,Mould,Mould,water leakage from skt side ,18:18,20:10,1.87,B/D,Mechanical,,,
279,CCM,CCM,m/c down prob,8:02,8:14,0.2,B/D,Mechanical,,,
280,extractor ,extractor ,extractor jaw close prob ,8:14,8:24,0.17,B/D,Mechanical,,,
281,Trough ,Trough ,Trough centering done ,8:25,8:35,0.17,B/D,Mechanical,,,
282,extractor ,extractor ,extractor jaw close prob ,9:18,9:40,0.37,B/D,Mechanical,,,
283,extractor ,extractor ,extractor change ,15:56,16:56,1,B/D,Mechanical,,,
284,Uli Tube ,Uli Tube ,Dry uli dropping prob ,17:15,17:35,0.33,B/D,Mechanical,,,
285,Uli Tube ,Uli Tube ,Dry uli dropping prob ,22:36,23:57,1.35,B/D,Mechanical,,,
286,Trough ,Trough ,A side trough tilting cylinder hydrulic oil leakage ,9:23,11:15,1.87,B/D,Mechanical,,,
287,seal ,seal ,spt seal change ,14:00,14:42,0.7,B/D,Mechanical,,,
288,Fixed ladle,Fixed ladle,Fixed ladle b/d,18:45,21:25,2.67,B/D,Mechanical,,,
289,CCM,CCM,c/b prob,14:08,14:30,0.37,B/D,Mechanical,,,
290,Uli Tube ,Uli Tube ,Dry uli dropping prob ,19:30,20:00,0.5,B/D,Mechanical,,,
291,Trough ,Trough ,trough shifting boggie lock pin open out,2:52,3:09,0.28,B/D,Mechanical,,,
292,Core loader/extractor,Core loader/extractor,Core loader/extractor centering done,1:50,1:53,0.05,B/D,Mechanical,,,
293,Core loader/extractor,Core loader/extractor,Core loader/extractor centering done,2:30,2:50,0.33,B/D,Mechanical,,,
294,flag gate,flag gate,flag gate hose damage & hydrulic oil leakage ,4:10,4:29,0.32,B/D,Mechanical,,,
295,CCM,CCM,c/b prob,6:00,6:40,0.67,B/D,Mechanical,,,
296,Trough ,Trough ,B side trough rotating prob,8:00,9:08,1.13,B/D,Mechanical,,,
297,Trough ,Trough ,B side trough tilting prob,23:31,23:35,0.07,B/D,Mechanical,,,
298,Trough ,Trough ,A side trough tilting cylinder hydrulic oil leakage ,8:50,11:00,2.17,B/D,Mechanical,,,
299,CCM,CCM,c/b prob,6:08,7:27,1.32,B/D,Mechanical,,,
300,Trough ,Trough ,B side trough tilting prob,10:26,11:10,0.73,B/D,Mechanical,,,
301,Trough ,Trough ,A side trough supporting roller change ,12:00,13:36,1.6,B/D,Mechanical,,,
302,Core loader,Core loader,Core loader centering done +pipe stopper welding ,9:05,10:10,1.08,B/D,Mechanical,,,
303,Core Ring ,Core Ring ,Core Ring spring broken,23:26,23:42,0.27,B/D,Mechanical,,,
304,PTT,PTT,PTT prob,22:40,22:55,0.25,B/D,Mechanical,,,
305,CCM,CCM,m/c down automatic,7:08,7:22,0.23,B/D,Mechanical,,,
306,Mould,Mould,Mould change due to skt side water leakage,3:00,5:00,2,B/D,Mechanical,,,
307,extractor ,extractor ,extractor centering prob,22:45,23:16,0.52,B/D,Mechanical,,,
308,Core loader,Core loader,Core loader centering done ,17:37,17:46,0.15,B/D,Mechanical,,,
309,Trough ,Trough ,B side trough tilting prob,20:45,23:35,2.83,B/D,Mechanical,,,
310,Mould,Mould,spt side water leakage ,20:35,21:10,0.58,B/D,Mechanical,,,
311,Mould,Mould,Mould change due to mould vibration,23:10,0:30,1.33,B/D,Mechanical,,,
312,Dial gauge ,Dial gauge ,Dial gauge prob (skt thick vibration),4:05,4:25,0.33,B/D,Mechanical,,,
313,MTC ,MTC ,MTC gland tight ,13:15,13:35,0.33,B/D,Mechanical,,,
314,Trough ,Trough ,trough shifting cylinder lock pin ,22:50,23:30,0.67,B/D,Mechanical,,,
315,Fixed ladle,Fixed ladle,Fixed ladle cylinder prob ,3:56,4:17,0.35,B/D,Mechanical,,,
316,PTT,PTT,PTT rope change ,18:00,18:34,0.57,B/D,Mechanical,,,
317,Uli Tube ,Uli Tube ,Dry uli dropping prob ,0:32,1:29,0.95,B/D,Mechanical,,,
318,flag gate ,flag gate ,flag gate  spring change ,21:20,21:45,0.42,B/D,Mechanical,,,
319,Fixed ladle,Fixed ladle,Fixed ladle tilting prob,19:25,20:00,0.58,B/D,Mechanical,,,
320,valve ,valve ,valve  change ,20:05,20:28,0.38,B/D,Mechanical,,,
321,Trough ,Trough ,B side trough shifting ,16:50,19:00,2.17,B/D,Mechanical,,,
322,Trough ,Trough ,b side trough tilting cylinder hose oil leakage ,3:49,4:45,0.93,B/D,Mechanical,,,
323,Fixed ladle,Fixed ladle,Fixed ladle hydrulic valve change ,8:35,12:58,4.38,B/D,Mechanical,,,
324,Uli Tube ,Uli Tube ,Dry uli dropping prob ,14:48,15:00,0.2,B/D,Mechanical,,,
325,PTT ,PTT ,PTT  fwd & rev prob ,2:00,2:50,0.83,B/D,Mechanical,,PTT stopped moving,ptt rope removed from middle pulley at middle as pulley got jam.
326,core ring ,core ring ,core ring prob,0:55,1:04,0.15,B/D,Mechanical,,Core burst,coreloader centered as center got out
327,Trough ,Trough ,trough shifting prob ,4:00,4:11,0.18,B/D,Mechanical,,no record,
328,Trough ,Trough ,trough shifting prob ,7:05,7:40,0.58,B/D,Mechanical,,b side trough shifting cylinder was not moving,DC v/v changed as its spool got jam
329,Trough ,Trough ,trough shifting prob ,8:33,8:53,0.33,B/D,Mechanical,,b side trough shifting cylinder was not moving,DC V/V spool jam freed
330,Trough ,Trough ,B side trough shifting cylinder change ,11:50,13:54,2.07,B/D,Mechanical,,b side trough shifting cylinder internal leakage,Cylinder replaced during mould change time
331,flag gate ,flag gate ,flag gate stopper welding ,2:40,2:51,0.18,B/D,Mechanical,,pipe fell off from flaggate arm after extraction,spt flaggate arm pipe stopper fixed 
332,Core loader,Core loader,Core loader compressure check,6:40,6:50,0.17,B/D,Mechanical,,Skt metal fly from coreloader ,Coreloader compression increased to 12mm from 7mm
333,PTT ,PTT ,PTT  B/D,16:50,17:43,0.88,B/D,Mechanical,,PTT was not moving,ptt rope was loosed as ptt got strucked at ptt bottom I beam
334,Core loader,Core loader,Core loader change,3:12,3:18,0.1,B/D,Mechanical,,coreloader was not rotating,coreloader changed
335,fallchute,fallchute,fallchute welding due to open out ,19:25,20:23,0.97,B/D,Mechanical,,no record,
336,Core loader,Core loader,Core loader centering check,22:25,22:35,0.17,B/D,Mechanical,,Core burst,coreloader centered as center got out
337,Mould,Mould,mould rotation prob,18:25,19:00,0.58,B/D,Mechanical,,mould rotation jam,sleeve changed
338,CCM,CCM,pipe lifting arm prob ,2:45,3:00,0.25,B/D,Mechanical,,no record,
339,fallchute,fallchute,A side fallchute stopper welding ,16:40,16:50,0.17,B/D,Mechanical,,no record,
340,extractor ,extractor ,extractor jaw not close & lifting prob ,2:00,2:50,0.83,B/D,Mechanical,,CCM 2(not ccm4 as mentioned) extractor jaws were not closing,extractor replaced as its male part broked and at same time extra plate provided over pipe lifting arm for pipe rolling
341,Trough ,Trough ,B side tilting hose change ,11:20,12:25,1.08,B/D,Mechanical,,oil leakage from b side trough tilting top port hose,hose changed 
342,Mould,Mould,Mould change due to mould rotation stop ,11:15,12:45,1.5,B/D,Mechanical,,mould rotation jam,sleeve changed
343,PTT ,PTT ,PTT  B/D,23:46,23:55,0.15,B/D,Mechanical,,no record,
344,extractor ,extractor ,extractor centering done + jaw pessure plate welding,9:42,10:05,0.38,B/D,Mechanical,,extractor center got out due to mounting bolts loose,extractor centered
345,Trough ,Trough ,trough shifting prob ,12:34,13:19,0.75,B/D,Mechanical,,b side trough center got out from mould,trough centered but not exactly by adjusting from cyl back screw rod
346,Trough ,Trough ,trough shifting prob ,16:00,20:41,4.68,B/D,Mechanical,,b side trough center got out from mould,cyl back screw rod was changed and center was adjusted
347,Core loader,Core loader,Core loader centering check,3:50,4:00,0.17,B/D,Mechanical,,coreburst,coreloader was checked and found ok
348,Trough ,Trough ,A side trough supporting roller change ,9:01,9:17,0.27,B/D,Mechanical,,A side trough supporting roller jam,roller changed
349,Mould,Mould,mould rotation prob,15:25,16:05,0.67,B/D,Mechanical,,no record,
350,DC Motor,DC Motor,DC Motor lifting chain pulley open out ,10:15,10:40,0.42,B/D,Mechanical,,DC Motor lifting chain pulley got jam,jam was freed
351,cylinder,cylinder,hydrulic cylinder oil leakage ,22:40,23:25,0.75,B/D,Mechanical,,oil leakage from skt side flaggate cylinder piston end port metal pipeline,at elbow position pipeline welded as it broked when got hit by side ext guard plate
352,PTT ,PTT ,PTT rope change,0:33,0:42,0.15,B/D,Mechanical,,ptt rope broked as it was rubbing on a broken guide channel piece,ptt rope was changed and broken piece was cut out and at the same time mould was changed
353,CCM,CCM,auto run start +s/l up but mould rotation stop ,20:11,20:34,0.38,B/D,Mechanical,,no record,
354,pump,pump,"hudrulic pump prob (1,2,3&4)",12:35,13:05,0.5,B/D,Mechanical,,pump no 5 pressure dropped,pump no 5 was stopped and in its place standby pump no 1 was started
355,Core loader,Core loader,Core loader change ,16:15,17:18,1.05,B/D,Mechanical,,metal fly from coreloader,coreloader changed and centered
356,core ring ,core ring ,core ring change ,16:40,17:00,0.33,B/D,Mechanical,,corering from coreloader came out,coreloader changed
357,PTT ,PTT ,PTT rope change,22:00,23:16,1.27,B/D,Mechanical,,,
358,extractor ,extractor ,extractor stopper plate welding ,23:20,23:50,0.5,B/D,Mechanical,,,
359,Core loader,Core loader,Core loader centering out ,21:25,21:47,0.37,B/D,Mechanical,,metal fly from coreloader ,coreloader housing mounting locknut changed as it broked 
360,core ring ,core ring ,core ring change ,17:58,18:04,0.1,B/D,Mechanical,,corering came out from coreloader,coreloader changed
361,Core loader,Core loader,Core loader centering check,21:50,22:45,0.92,B/D,Mechanical,,no record,
362,Core loader,Core loader,Core loader prob,0:20,1:50,1.5,B/D,Mechanical,,,
363,core ring ,core ring ,core ring change ,3:15,3:25,0.17,B/D,Mechanical,,,
364,CCM,CCM,Spigot metal guard welding,6:00,6:31,0.52,B/D,Mechanical,,Boggie spt chute fell off,spt chute fitted after cleaning
365,Trough ,Trough ,trough limit prob & flow controle valve change,18:25,19:05,0.67,B/D,Mechanical,,diabola striker broked and trough pressing airline regulator was not working,diabola striker welded and regulator serviced
366,Trough ,Trough ,B side trough pressing roller change,23:45,0:40,0.92,B/D,Mechanical,,,
367,diabola ,diabola ,diabola trolley derailed,7:20,8:20,1,B/D,Mechanical,,,
